0_to_70_CS_wMotor.TXT	0-70mph accelearation Schedule
"Test Time, secs Target Speed, mph"	
0	0
1	20
2	20
3	20
4	20
5	20
6	20
7	20
8	20
9	20
10	20
11	20
12	20
13	20
14	20
15	20
16	20
17	20
18	20
19	20
20	20
21	20
22	20
23	20
24	20
25	20
26	20
27	20
28	20
29	20
30	20
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	70
52	70
53	70
54	70
55	70
56	70
57	70
58	70
59	70
60	70
61	70
62	70
63	70
64	70
65	70
66	70
67	70
68	70
69	70
70	70
71	70
72	70
73	70
74	70
75	70
76	70
77	70
78	70
79	70
80	70
81	70
82	70
83	70
84	70
85	70
86	70
87	70
88	70
89	70
90	70
91	70
92	70
93	70
94	70
95	70
96	70
97	70
98	70
99	70
100	70
