50_to_80_Acceleration.TXT	50-80mph accelearation Schedule
"Test Time, secs Target Speed, mph"	
0	0
1	50
2	50
3	50
4	50
5	50
6	50
7	50
8	50
9	50
10	50
11	50
12	50
13	50
14	50
15	50
16	50
17	50
18	50
19	50
20	50
21	50
22	50
23	50
24	50
25	50
26	50
27	50
28	50
29	50
30	50
31	50
32	50
33	50
34	50
35	50
36	50
37	50
38	50
39	50
40	50
41	50
42	50
43	50
44	50
45	50
46	50
47	50
48	50
49	50
50	50
51	50
52	50
53	50
54	50
55	50
56	50
57	50
58	50
59	50
60	50
61	80
62	80
63	80
64	80
65	80
66	80
67	80
68	80
69	80
70	80
71	80
72	80
73	80
74	80
75	80
76	80
77	80
78	80
79	80
80	80
81	80
82	80
83	80
84	80
85	80
86	80
87	80
88	80
89	80
90	80
91	80
92	80
93	80
94	80
95	80
96	80
97	80
98	80
99	80
100	80
