40A_const.TXT	40A Supplemental FTP Driving Schedule
"Test Time, secs Target Speed, mph"	
0	0
1	70
2	70
3	70
4	70
5	70
6	70
7	70
8	70
9	70
10	70
11	70
12	70
13	70
14	70
15	70
16	70
17	70
18	70
19	70
20	70
21	70
22	70
23	70
24	70
25	70
26	70
27	70
28	70
29	70
31	70
32	70
33	70
34	70
35	70
36	70
37	70
38	70
39	70
40	70
41	70
42	70
43	70
44	70
45	70
46	70
47	70
48	70
49	70
50	70
51	70
52	70
53	70
54	70
55	70
56	70
57	70
58	70
59	70
60	70
61	70
62	70
63	70
64	70
65	70
66	70
67	70
68	70
69	70
70	70
71	70
72	70
73	70
74	70
75	70
76	70
77	70
78	70
79	70
80	70
81	70
82	70
83	70
84	70
85	70
86	70
87	70
88	70
89	70
90	70
91	70
92	70
93	70
94	70
95	70
96	70
97	70
98	70
99	70
100	70
101	70
102	70
103	70
104	70
105	70
106	70
107	70
108	70
109	70
110	70
111	70
112	70
113	70
114	70
115	70
116	70
117	70
118	70
119	70
120	70

