0_to_61.TXT 0-61mph accelearation Schedule	
"""Test Time, secs Target Speed, mph"" "	
0	0
1	61
2	61
3	61
4	61
5	61
6	61
7	61
8	61
9	61
10	61
11	61
12	61
13	61
14	61
15	61
16	61
17	61
18	61
19	61
20	61
21	61
22	61
23	61
24	61
25	61
26	61
27	61
28	61
29	61
30	61
31	61
32	61
33	61
34	61
35	61
36	61
37	61
38	61
39	61
40	61
41	61
42	61
43	61
44	61
45	61
46	61
47	61
48	61
49	61
50	61
51	61
52	61
53	61
54	61
55	61
56	61
57	61
58	61
59	61
60	61
61	61
62	61
63	61
64	61
65	61
66	61
67	61
68	61
69	61
70	61
71	61
72	61
73	61
74	61
75	61
76	61
77	61
78	61
79	61
80	61
81	61
82	61
83	61
84	61
85	61
86	61
87	61
88	61
89	61
90	61
91	61
92	61
93	61
94	61
95	61
96	61
97	61
98	61
99	61
100	61
101	61
102	61
103	61
104	61
105	61
106	61
107	61
108	61
109	61
110	61
111	61
112	61
113	61
114	61
115	61
116	61
117	61
118	61
119	61
120	61
