US06_City.TXT	US06 City Driving Schedule
"Test Time, secs Target Speed, mph"	
0	0
1	0
2	0
3	0
4	0
5	0
6	0.2
7	0.7
8	1.1
9	1.7
10	6
11	13.9
12	20.5
13	25.7
14	25
15	28.4
16	32.3
17	34.6
18	36.5
19	38.4
20	39.9
21	42.2
22	43.8
23	44.2
24	43.4
25	42.6
26	40.3
27	39.2
28	38.4
29	38.4
30	39.2
31	38.8
32	38.8
33	36.5
34	32.3
35	27.6
36	22.3
37	17.3
38	11.5
39	5.8
40	1.2
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0.8
50	9.2
51	14.9
52	18.2
53	22.2
54	27.2
55	31.4
56	33.8
57	37.2
58	40.8
59	44
60	46.3
61	47.6
62	49.5
63	51.2
64	53
65	54.4
66	55.6
67	56.4
68	56.1
69	56.2
70	55.8
71	55.1
72	54.4
73	54.2
74	54.4
75	54.2
76	53.5
77	52.3
78	52
79	51.9
80	51.8
81	51.9
82	52
83	52.5
84	53.4
85	54.9
86	56.8
87	58.8
88	60.6
89	62.3
90	64.2
91	66.2
92	67.8
93	69.4
94	70.4
95	70.6
96	70.7
97	70.3
98	68.2
99	66.5
100	64.9
101	63.7
102	62.5
103	61
104	59.3
105	57.7
106	56
107	54.5
108	52.8
109	51.2
110	49.5
111	48
112	46.3
113	44
114	41.1
115	38.8
116	37.7
117	36.6
118	35.3
119	30
120	24.4
121	19.8
122	15.5
123	10.8
124	6.3
125	3.2
126	2.1
127	1.2
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0.2
137	4.4
138	10.1
139	15.6
140	20.8
141	25.1
142	27.7
143	28.2
144	26.8
145	24.8
146	22.4
147	17.1
148	11.3
149	6.9
150	7.5
151	11.1
152	15.4
153	19.9
154	24.2
155	27.1
156	28.5
157	28.2
158	25.6
159	21.7
160	17.3
161	12.1
162	7.5
163	5.8
164	2.4
165	1.2
166	1.9
167	6.7
168	11.8
169	16.8
170	21.7
171	25.9
172	27.7
173	28
174	27.1
175	24.4
176	20.2
177	15.2
178	9.3
179	5
180	2.9
181	2.4
182	8.4
183	13.5
184	17.8
185	22.2
186	26.2
187	30
188	29.8
189	26
190	21.3
191	16.2
192	11.4
193	6.6
194	2.6
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0.3
204	6.4
205	12.7
206	19.2
207	23.8
208	28.2
209	34.9
210	37.5
211	40.3
212	45
213	49.9
214	51.6
215	51.2
216	50.6
217	49.9
218	47.8
219	44.6
220	41.2
221	37.8
222	33.4
223	28
224	23.7
225	18.8
226	12.9
227	6.2
228	2.2
229	0
230	0
231	0
232	0
233	0
234	0
235	0
