US06_Highway.TXT	US06 Highway Driving Schedule
"Test Time, secs Target Speed, mph"	
0	0
1	0
2	2.7
3	9.2
4	16.1
5	22.7
6	29.2
7	34.2
8	38.8
9	43
10	45.3
11	46.8
12	48
13	49.5
14	50.3
15	51.5
16	52.2
17	52.6
18	53
19	53.8
20	53.8
21	53.8
22	54.6
23	56.3
24	56.9
25	58.1
26	58.4
27	59.6
28	59.9
29	60.2
30	60.5
31	59.7
32	58.3
33	58.1
34	57.8
35	57.3
36	57.5
37	56.6
38	57
39	56.6
40	56.5
41	56.2
42	56.4
43	56.6
44	56.4
45	56.1
46	56
47	55.9
48	54.8
49	54.2
50	54.6
51	52.2
52	54.7
53	55.7
54	57
55	58
56	58.1
57	59.4
58	59.9
59	61
60	61.4
61	61.9
62	62.5
63	62.5
64	62.7
65	62.2
66	62.5
67	63.1
68	62.7
69	62.8
70	63
71	64.1
72	63.9
73	64.1
74	64.3
75	64.5
76	64.9
77	65.3
78	66
79	66
80	66.4
81	64.1
82	63.6
83	63.9
84	64.1
85	63.7
86	64.3
87	64.2
88	63.9
89	64.2
90	63.4
91	64
92	63.9
93	64
94	63.8
95	64
96	63.3
97	63.4
98	63.9
99	64
100	64.3
101	64.8
102	65.1
103	64
104	64.2
105	63.1
106	63.7
107	63.1
108	63.7
109	63.5
110	63
111	63.1
112	63
113	63.3
114	63.4
115	63.3
116	62.5
117	62.5
118	62.9
119	62.8
120	62.2
121	62.4
122	62.3
123	62.3
124	62.4
125	62.1
126	62.5
127	62.8
128	62.3
129	62.3
130	62.4
131	61.9
132	62.8
133	62.8
134	62.3
135	62.8
136	62.4
137	62.1
138	61.9
139	61.8
140	62.1
141	62.1
142	62.1
143	62
144	62.4
145	62.2
146	62.2
147	62.4
148	62.7
149	62.6
150	63.7
151	64.3
152	64.8
153	65.1
154	65.9
155	66.1
156	67
157	67.2
158	67.5
159	68.3
160	68.3
161	68.8
162	69.1
163	69.4
164	71.7
165	72.1
166	74.9
167	72.6
168	72.2
169	72.2
170	72
171	72.5
172	72.8
173	72.7
174	71.8
175	71.4
176	71.1
177	71.1
178	70.9
179	71
180	71
181	71.2
182	72.1
183	72.6
184	73.6
185	74.8
186	75.7
187	77.3
188	78.4
189	79.3
190	78.2
191	76
192	75.6
193	76.4
194	77.6
195	78
196	79.1
197	79.5
198	79.9
199	79.9
200	80.3
201	80.3
202	79.5
203	79.5
204	79.1
205	78.7
206	77.6
207	76.5
208	74.3
209	72.6
210	70.8
211	67.6
212	66.4
213	66.7
214	66.1
215	65.9
216	66.2
217	66.1
218	67.1
219	67.4
220	68.3
221	68.3
222	68.7
223	68.2
224	68.1
225	68
226	67.1
227	66.4
228	66.1
229	65.7
230	66
231	66.4
232	66
233	66.3
234	67
235	67.5
236	67.9
237	68.1
238	68.5
239	68.9
240	68.6
241	69.4
242	69.4
243	69.4
244	70
245	70.4
246	70.6
247	70.9
248	70.3
249	70.6
250	70.3
251	69.7
252	69.9
253	70.1
254	69.6
255	69.3
256	69.9
257	69.7
258	69.5
259	69.9
260	70.2
261	70.2
262	70.2
263	71
264	70.8
265	70.9
266	70.7
267	70.9
268	71.2
269	71.3
270	70.8
271	71.2
272	71.7
273	71.9
274	72.6
275	72.3
276	72.3
277	72.1
278	72
279	71.9
280	72.6
281	72.8
282	73.2
283	72.1
284	71.5
285	70.9
286	70.4
287	70.5
288	70.9
289	70.2
290	71
291	70.2
292	70.3
293	69.1
294	68.8
295	68.2
296	68.3
297	68.2
298	67.7
299	67.3
300	67.5
301	67.6
302	67.6
303	67.2
304	67
305	66.3
306	66.6
307	66.2
308	66.4
309	65.9
310	66.1
311	65.5
312	62.2
313	62.2
314	61.4
315	61.1
316	61.4
317	61.1
318	61.4
319	61.4
320	61.8
321	61.8
322	61.8
323	61.8
324	62.2
325	61.8
326	62.2
327	62.6
328	62.2
329	62.6
330	62.2
331	62.6
332	62.6
333	63
334	62.6
335	62.2
336	61.1
337	59.5
338	58.8
339	56.8
340	55.7
341	54.1
342	51.5
343	49.2
344	48.8
345	47.6
346	44.9
347	41.5
348	37.2
349	34.6
350	33
351	29.2
352	22.3
353	17.7
354	17.3
355	14
356	10
357	6
358	2
359	0
